id,name,absolute_magnitude,est_diameter_m,is_hazardous,epoch_osculation,eccentricity,semi_major_axis,inclination,min_orbit_intersection,orbit_uncertainty,jupiter_tisserand_invariant,mean_anomaly,arg_of_perihelion,relative_velocity_kms
2001620,1620 Geographos (1951 RA),15.26,3815.42232776965,True,2461000.5,0.3355121972709176,1.245776928212046,13.33579272092072,0.029359,0,5.074,212.9204490178883,277.0183902823983,11.7628114185
2001863,1863 Antinous (1948 EA),15.46,3479.7065196465,False,2461000.5,0.6062664652723643,2.260115814022302,18.37865115914057,0.18731,0,3.297,289.5644842509299,269.0745461743961,18.0795138977
2001915,1915 Quetzalcoatl (1953 EA),18.38,906.8649499131,False,2461000.5,0.5702246324910014,2.544841207124704,20.39923864931689,0.108832,0,3.122,21.61644786833002,347.7552548641982,15.120986141
2001917,1917 Cuyo (1968 AA),14.38,5721.9310059933505,False,2461000.5,0.505537832953689,2.149051318045439,23.95877926122077,0.0717038,0,3.435,160.0894975932002,194.5525720858562,15.2344898243
2002063,2063 Bacchus (1977 HB),17.21,1554.3278078268502,False,2461000.5,0.3494290963109118,1.077998635969807,9.434706674966163,0.0667442,0,5.668,234.7870112213809,55.35073175014093,10.3891121599
2002100,2100 Ra-Shalom (1978 RA),16.24,2429.6438486958,False,2461000.5,0.4364952493522143,0.8320181324477783,15.7589177670186,0.149854,0,6.946,249.1086736727862,356.0816162459969,17.9951284902
2002102,2102 Tantalus (1975 YA),16.0,2713.57991980445,True,2461000.5,0.2993501728106365,1.290060970322236,64.00515474122724,0.0425966,0,4.450,347.3556840153869,61.49851690720825,33.9011179674
2002201,2201 Oljato (1947 XC),15.32,3711.4414768746,True,2461000.5,0.7107467143415708,2.178656195447747,2.521761458682459,0.00278383,0,3.298,97.01271586817789,98.37256255206134,25.3456268472
2002340,2340 Hathor (1976 UA),20.43,352.8114059292,True,2461000.5,0.4499362680235325,0.8438608025847174,5.860590932930383,0.00662601,0,6.882,201.9797234988166,40.11847518742348,17.4915658691
2000719,719 Albert (A911 TB),15.59,3277.4993698077,False,2461000.5,0.5465958092029042,2.636590391941703,11.57311098334763,0.201318,0,3.141,240.6102735390057,156.1894042263689,3.446029003
2000887,887 Alinda (A918 AA),13.81,7439.48062159795,False,2461000.5,0.5711699794608194,2.473628777437219,9.400059831078742,0.079677,0,3.220,81.54059345329729,350.5345010535981,7.0959736724
2001627,1627 Ivar (1929 SH),12.79,11899.880957000301,False,2461000.5,0.3973228847587874,1.863058085418779,8.456290877873991,0.109225,0,3.879,311.4610021592155,167.8395514974748,6.5498703345
2001916,1916 Boreas (1953 RA),14.93,4441.63244495065,False,2461000.5,0.4491761651460445,2.272666457323891,12.8771175423074,0.252238,0,3.441,35.11128111311872,335.8547655115763,0.0
2001943,1943 Anteros (1973 EC),15.7,3115.60661214465,False,2461000.5,0.2559124625745011,1.430526828104039,8.70770309553218,0.0609274,0,4.639,260.3741151318879,338.4366185612203,7.2023031719
2002101,2101 Adonis (1936 CA),18.69,786.217338036,True,2461000.5,0.7641272866540292,1.874025402823539,1.319975555725494,0.0115133,0,3.551,24.4791713609493,43.71149376367007,19.3298299696
2002135,2135 Aristaeus (1977 HA),18.05,1055.7050933538999,True,2461000.5,0.5030860272069245,1.599618836636408,23.07237482818519,0.00853299,1,4.135,37.18009347122379,290.9802572426059,27.4377860884
2000433,433 Eros (A898 PA),10.38,36102.94392840445,False,2461000.5,0.2228359407071628,1.458120998474684,10.82846651399785,0.148353,0,4.582,310.5543277370992,178.9297536744151,5.5786191875
2001036,1036 Ganymed (A924 UB),9.18,62739.72587907345,False,2461000.5,0.5332132811732986,2.664968845599615,26.68073583387972,0.343339,0,3.034,97.59384974599257,132.5031170460387,6.3038662589
2001685,1685 Toro (1948 OA),14.28,5991.597306353249,False,2461000.5,0.4360487430714525,1.367838675763276,9.381842770224067,0.0510571,0,4.715,82.68163042795531,127.2752987170578,16.1350821461
2001980,1980 Tezcatlipoca (1950 LA),13.81,7439.48062159795,False,2461000.5,0.3647058342921514,1.709394204644144,26.86993780988122,0.245041,0,3.996,211.4954107695293,115.4724980863188,0.0
2002059,2059 Baboquivari (1963 UA),15.98,2738.68836566235,False,2461000.5,0.5315840390697194,2.641826236945549,11.02085921144213,0.245023,0,3.154,143.1618928317143,192.4559888319,3.2390038886
2002062,2062 Aten (1976 AA),17.11,1627.5810206048,False,2461000.5,0.1828994504408308,0.9669585183960612,18.93554263304309,0.113112,0,6.183,32.63774887898994,148.0763297313055,11.2688208334
2002329,2329 Orthos (1976 WA),14.58,5218.4630995126,False,2461000.5,0.6533457144881233,2.411309929755049,24.4638958028888,0.0935618,0,3.096,71.29201790171585,146.1087303037244,23.0928141352
2001221,1221 Amor (1932 EA1),17.37,1443.9182875085,False,2461000.5,0.4346323375284623,1.919831260906931,11.86882308811668,0.107969,0,3.781,59.87048521279021,26.75822531564864,10.7701740589
2001566,1566 Icarus (1949 MA),16.53,2125.89894718995,True,2461000.5,0.8270056908369543,1.078037837567316,22.8032205675089,0.0335114,0,5.298,153.0789301425594,31.43821652068713,27.0080561011
2001580,1580 Betulia (1950 KA),14.55,5291.0591526425505,False,2461000.5,0.48760448379044,2.194974308440822,52.18785378434917,0.132486,0,3.066,80.26718499546801,159.7170503843726,11.3576547669
2001862,1862 Apollo (1932 HA),16.08,2615.4270846307,True,2461000.5,0.559917993072294,1.470923801390198,6.351390019553327,0.0260113,0,4.413,113.8845362730047,286.0509036792798,11.6407137694
